house_id,total_load_kwh,solar_gen_kwh,self_consumption_rate,solar_coverage,grid_import_kwh,grid_export_kwh,battery_cycle_kwh,peak_import_cut_pct,net_peak_watts
house_0001,16.2074,44.5633,0.2826,0.7769,3.6155,31.9714,0.0,0.0,2995.41
house_0002,13.482,44.5633,0.1934,0.6393,4.863,35.9444,0.0,0.0,3121.08
