house_id,members,at_home_minutes,at_home_mean_watts,away_mean_watts,load_consistent,peak_hour,busy_hour,peak_aligned,total_kwh,behavior_total_kwh,flags
house_0001,4,4980,575.97,543.37,True,8,9,True,16.207,13.717,"["""", """"]"
house_0002,1,1230,581.73,19.0,True,8,7,True,13.482,11.992,"["""", """"]"
