house_id,n_days,variability_index,peak_hour_shift,daily_kwh_cv,mean_kwh,hourly_cv_curve,daily_kwhs
house_0001,2,0.2705,0.5,0.0396,16.8754,"[0.0501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9078, 0.9248, 0.3469, 0.5821, 0.4257, 0.2606, 0.4408, 0.4332, 0.01, 0.0339, 0.2981, 0.6198, 0.3116, 0.1618, 0.1131, 0.2121, 0.2688, 0.0913]","[17.54, 16.21]"
house_0002,2,0.3601,5.0,0.1581,11.641,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9036, 0.8826, 0.9457, 0.8691, 0.6637, 0.0, 0.1979, 0.0, 0.0, 0.5356, 0.8527, 0.7934, 0.0, 0.4279, 0.7371, 0.6545, 0.0694, 0.11]","[9.8, 13.48]"
